125	NSK Nagar	0101000020E61000006C308119DB0D5440B296E9345E262A40
126	Arumbakkam	0101000020E6100000FF578063CD0D544056AC4CBEFA242A40
127	Water Tank	0101000020E610000060AB048BC30D5440E9B6442E38232A40
128	Market	0101000020E610000038D8BC26BB0D54405B3E16CBC2212A40
129	MMDA Colony	0101000020E61000005F778048BB0D54405182827B33202A40
130	MMDA Colony	0101000020E6100000EECBFC17C60D544030AAFBB616202A40
131	Market	0101000020E6100000C36D0246B60D54407B16DFABB1212A40
132	Water Tank	0101000020E61000002D89FDAFC40D54400279FA317B232A40
136	Pachaiyappas College	0101000020E610000083763D87E80E544056DFF1D4C0262A40
138	KMC	0101000020E61000003691FC35970F5440560449E9E3272A40
139	Dasaprakash	0101000020E610000014387E4D3B105440108B20E760282A40
146	Adayar Telephone Exchange	0101000020E61000000A877BB8661054405502F7762A002A40
148	Gandhi Mandapam	0101000020E6100000C98380BE250F5440DE18E9E2C2032A40
153	Teynampet	0101000020E61000003CD862B7CF0F54404AEEB089CC142A40
158	Shanthi Theater	0101000020E6100000179CC1DF2F11544038DC476E4D222A40
160	Egmore Railway Station	0101000020E6100000FFA97EC6C1105440C41A15D5AE272A40
163	Tennis	0101000020E6100000B5705985CD0F5440656EBE11DD2B2A40
166	Aynavaram	0101000020E6100000B27CC0B07A0F5440AEC3A8D688312A40
167	Aynavaram Depot	0101000020E610000037BFC4CC7C0F54402D85D5926D322A40
168	Aynavaram	0101000020E6100000151C7F1E7A0F544093A5392649312A40
169	ESI	0101000020E610000038897B0B6F0F54405B4EF85BF12F2A40
170	ESI	0101000020E61000003546EBA86A0F5440B857E6ADBA2E2A40
172	Tennis	0101000020E61000005952EE3EC70F5440404D2D5BEB2B2A40
173	Purusawalkam	0101000020E6100000C61CC2001B1054409A413A44F52B2A40
174	Gandhi Avenue	0101000020E61000002A3541F54B1054402FDB6F690C2B2A40
175	Dasaprakash	0101000020E610000083DC037C501054408C56414E90292A40
176	Egmore	0101000020E6100000715C00F996105440C6EFB787CE262A40
177	Egmore Railway Station	0101000020E61000009015FC36C410544033315D88D5272A40
181	Casino Cinema	0101000020E6100000124D7F7A1C115440B52C25EC57232A40
184	TVS/Spencers	0101000020E61000005E9ECE15A5105440F7C8E6AA791E2A40
186	DMS	0101000020E61000003E228536E90F5440E746C3EFC7172A40
187	Teynampet	0101000020E61000009D6516A1D80F5440FFB0A54753152A40
190	Nandanam	0101000020E61000009B9DFB617A0F5440FC49845F4D102A40
195	Gandhi Nagar	0101000020E610000078407EDBF80F54408928266F80032A40
197	Adayar Telephone Exchange	0101000020E6100000CBC97A2068105440FD323931FBFF2940
199	Vannandurai	0101000020E6100000DF477F79D2105440112783E500FE2940
208	Palmgrove	0101000020E610000060C3FCAAD60F544009F3C3AD271B2A40
209	Valluvar Kottam	0101000020E6100000EEDEFE1A580F5440D7B5A440F21A2A40
211	Meenakshi College/Liberty	0101000020E610000046297C11880E5440A85A0342881B2A40
212	Power House	0101000020E61000004B1E4FCB0F0E54402997C62FBC1A2A40
214	100 Feet Road	0101000020E61000000EDAAB8F870D5440EC32FCA71B182A40
216	Aavichi School	0101000020E610000093E2E313B20C5440333674B33F182A40
223	Porur Signal	0101000020E6100000F2CF0CE2030A5440130D52F014122A40
225	SRM College	0101000020E610000099F8FE6126095440F81D1E1DB2122A40
226	SRM College	0101000020E6100000A5D766632509544053927538BA122A40
227	Ayyapanthangal Bus Depot	0101000020E6100000A02C42D2A30854405E79B91D54132A40
229	Porur	0101000020E61000005E2A36E6750954405628D2FD9C122A40
233	Kesavardhini	0101000020E6100000CF30B5A50E0B5440CA703C9F01152A40
235	Virugambakkam	0101000020E6100000A06F0B96EA0B544049A297512C172A40
236	Aavichi School	0101000020E61000000EEC00A1980C54401A743A7758182A40
237	Vadapalani Bus Depot	0101000020E610000079DC01E8410D54401598045E1C192A40
238	Vadapalani Signal	0101000020E6100000D921FE618B0D5440A67754A997192A40
241	Meenakshi College/Liberty	0101000020E61000004B4CC4198B0E54407FD29A30AB1B2A40
242	Periyar Road	0101000020E6100000948A0086290F544081BF2D92551B2A40
243	Valluvar Kottam	0101000020E610000097B7FA1C650F544097FEA9E1F01A2A40
252	General Hospital	0101000020E610000022307B7EBD1154401D4E89B9DE292A40
254	Simpson	0101000020E61000007F33315D88115440484E266E15242A40
258	Thousand Lights	0101000020E6100000FEF8431A721054407AFC20C3111D2A40
259	Sapphire	0101000020E61000008BF9FBBD3B10544080C444BDBF1B2A40
263	Nandanam/YMCA	0101000020E61000002F2E3CCC2A0F54400FD37C9DED0E2A40
264	Saidapet	0101000020E6100000A93DFC67930E5440BF2B1FD5F20B2A40
267	Kathipara	0101000020E610000075F9FF06E70C54408631337DC0032A40
268	Butt Road	0101000020E6100000C5D0C1659B0C544003CAE878B3032A40
269	IDBI Kandapakam	0101000020E61000009483D904180C544070CE88D2DE082A40
270	Ramapuram	0101000020E6100000FFBF3D11BC0B544095D873A10B0B2A40
271	Gayla Nagar	0101000020E6100000265F0133BC0B544063FD5536620E2A40
272	R.S.M.R	0101000020E61000004C4CBCA8C20B5440E8082AF40B102A40
273	SRM College	0101000020E6100000661082026D0B5440B5CF3A1536102A40
274	Ambedkar Statue	0101000020E610000037A5BC56420B54409E7C7A6CCB102A40
276	Ramapuram Depot	0101000020E610000078094E7D200B544005323B8BDE112A40
277	Ambedkar Statue	0101000020E610000021B1DD3D400B5440AC1DC539EA102A40
278	SRM College	0101000020E6100000B6323C516D0B54406697FB2645102A40
279	R.S.M.R	0101000020E61000009FEC031CC40B54409DAFE5D707102A40
280	Ramapuram	0101000020E6100000A759C1EBCA0B5440B8A72F74BA0A2A40
281	IDBI Kandapakam	0101000020E6100000DBFC7DCE360C544030FE4B8C44082A40
282	Butt Road	0101000020E61000003255302AA90C5440B13385CE6B042A40
283	Guindy	0101000020E610000027F1C184F40C54400E37F99064042A40
284	Guindy Railway Station/Guindy Air Scotts	0101000020E610000076A73B4F7C0D54406AE27899BC042A40
286	Saidapet	0101000020E6100000FC947C4F590E5440C2859FACD6092A40
287	Nandanam/YMCA	0101000020E6100000B37040E82C0F54407916109C2B0F2A40
288	SIET	0101000020E6100000AE62F19BC20F544009336DFFCA122A40
291	Thousand Lights	0101000020E6100000DF1204B86E105440922531101D1D2A40
302	Simpson	0101000020E61000006D8FFF7E881154404168B943F5242A40
303	PTC	0101000020E610000072500469AD11544058BCA2A53C262A40
305	Sathyam	0101000020E6100000D1BDFBA1A11154408BFD44E9FB2C2A40
307	Tirupati	0101000020E6100000B64AB0389C1154401C9947FE60302A40
308	Elephant Gate	0101000020E6100000CEB2FE019C1154401821C012DD312A40
309	Basin Bridge	0101000020E6100000BFD4CF9B8A1154405E2A36E675342A40
310	Pencil Factory	0101000020E61000003E1E3C0BE911544010B098096D362A40
311	Cemetry Road	0101000020E610000097C1FFF3C7115440299BCD3EEA382A40
312	Pandian Theatre	0101000020E610000069A30072FE115440853928FE7B382A40
313	Maharani Theatre	0101000020E61000008C59C4EA2E1254400BB9AD88F53B2A40
314	Maharani Post Office	0101000020E6100000E90B84113912544027F15E5A793C2A40
315	Agasthiya	0101000020E6100000E89FE06245125440130A1170083D2A40
317	Tondiarpet	0101000020E6100000C8DEFF85AD125440CEFF275678432A40
319	Cross Road	0101000020E61000001B557E00EF12544030323B6AD0482A40
322	Raja Kadai	0101000020E61000005538FE1B261354403E05C078064D2A40
323	Kaladi Pettai	0101000020E61000000E5E05423C135440B1291DCD0D4F2A40
324	Ellaiyamman Koil	0101000020E6100000DA18BF194A1354405066ACCB63502A40
325	Theradi	0101000020E610000006DDFBA75D135440D501D6CB6B522A40
326	Tiruvottiyur Market	0101000020E6100000A66F046F69135440D31C729606542A40
328	Tiruvottiyur	0101000020E6100000FFE8FE5E881354400CDF0C480C582A40
332	Ellaiyamman Koil	0101000020E6100000343543895A1354408281527AC7512A40
334	Raja Kadai	0101000020E61000001C4300702C135440AE3D1EC0434D2A40
337	Cross Road	0101000020E6100000A80440ECF7125440CCF65B1A43492A40
339	Tondiarpet Depot	0101000020E610000052616C21C81254407FF964C570452A40
342	Pencil Factory	0101000020E6100000E321842EFE115440229F5FAD3D382A40
343	Mint	0101000020E61000005F324404D2115440E6E7C8C2BE382A40
345	Basin Bridge	0101000020E6100000124781B2A7115440153115B057352A40
346	Tirupati	0101000020E610000089963C9E96115440DD989EB0C4332A40
347	Elephant Gate	0101000020E61000004F38FDD19E115440E407D77136322A40
348	Onuvakkam	0101000020E61000000B193C0A9F115440158822CDED2E2A40
349	Sathyam	0101000020E6100000C042E6CAA011544004ADC090D52D2A40
350	Sathyam	0101000020E6100000280F0BB5A61154402028B7ED7B2C2A40
351	Central	0101000020E6100000662E7079AC115440C573B680D02A2A40
353	PTC	0101000020E6100000ED478AC8B0115440D520CCED5E262A40
354	Simpson	0101000020E6100000F6CD810E881154400C45F44ADD242A40
356	Chindadripet	0101000020E6100000AD84EE9238115440999CDA19A6262A40
358	Egmore Railway Station	0101000020E6100000D7ED3F74F9105440D4AB338484282A40
359	Teynampet Signal	0101000020E61000000873FDB3CD0F54409940B6D1A5142A40
360	Koth Road	0101000020E61000002F7B02F68B0F54404A11740F64142A40
361	Pondy Bazaar	0101000020E61000002C9CA4F9630F544055DCB8C5FC142A40
362	Vivek Road	0101000020E61000007DD50430E90E54408C76AAB67A182A40
363	Bharathi Nagar	0101000020E6100000514942C7F30E5440CE122A59CA192A40
367	Ram Theatre	0101000020E610000048FEFDB5BE0D54400807D6CCB5192A40
368	Sivan Koil	0101000020E61000007AE1CE85910D5440AA436E861B182A40
370	Sivan Koil/Murugan Temple	0101000020E610000050CDFEA3A30D5440B5F76F7FAA192A40
371	Ram Theatre	0101000020E61000003EFF03CDE30D5440158BDF14561A2A40
374	Periyar Road	0101000020E61000001B2FDD24060F5440D2C77C40A01B2A40
376	Vivek Road	0101000020E6100000437AC4C7EB0E5440DBAEE9A46B182A40
377	Panagal Park	0101000020E61000001F5BBF2EFD0E54407F202F5A36152A40
379	T Nagar Power House	0101000020E6100000E4B83A9D770F5440DCE3D8BCA2142A40
380	Aalayaman Kovil	0101000020E610000082C5E1CCAF0F54402E1B9DF353142A40
381	SIET	0101000020E61000002769FE98D60F5440AC1919E42E122A40
382	Thiruvalluvar Street	0101000020E6100000645A9BC6F60F5440AA0F24EF1C122A40
384	Hanuman Koil	0101000020E61000002CD7FC7493105440C1E9554BD7132A40
385	Isabella Hospital	0101000020E61000006495D233BD1054400A698D4127142A40
386	Vivekananda College	0101000020E61000002BE37C3DE1105440FFB72FF35F142A40
388	Kutchery Road	0101000020E61000003974824F56115440B595B099F0112A40
389	Masuri	0101000020E6100000CAE27AEB6E115440D66F89D0C6112A40
390	Santhome Church	0101000020E61000000130BF4FAC1154403148F24342112A40
392	Foreshore Estate Arch	0101000020E610000092770E65A81154407841446ADA0D2A40
397	Achuthan Mosque	0101000020E61000007C4FFE5188115440125A419967112A40
398	Kutchery Road	0101000020E61000004F87C2254F11544006B9EE5A00122A40
400	Vivekananda College	0101000020E6100000F1FCFDBDEF1054400A7227431B132A40
401	Hanuman Koil	0101000020E610000020D403EE9210544033EE17FDB2132A40
